Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,State,Postal Code,Category,Sub-Category,Sales,Quantity,Discount,Profit
22,ORD-2022-100021,01/12/2022,01/15/2022,Standard Class,CUST-1358,,Home Office,East,Massachusetts,,Office Supplies,Paper,32.27,3,0.0,-20.43
23,ORD-2024-100022,06/21/2024,06/22/2024,Standard Class,CUST-1412,,Corporate,West,Nevada,,Office Supplies,Paper,20.99,8,0.2,-5.26
24,ORD-2023-100023,05/04/2023,05/08/2023,Second Class,CUST-1737,Maria Garcia ,Corporate,Central,Illinois,,Office Supplies,Binders,81.17,9,0.0,72.44
25,ORD-2024-100024,10/08/2024,10/15/2024,Standard Class,CUST-1905,Aisha Khan,Home Office,East,New York,,Technology,Accessories,736.62,3,0.0,540.7
26,ORD-2023-100025,09/10/2023,09/16/2023,First Class,CUST-1740,Priya Patel,Consumer,East,Pennsylvania,,Office Supplies,Binders,31.33,8,0.0,32.31
27,ORD-2023-100026,05/16/2023,05/22/2023,Standard Class,CUST-1594,,Home Office,South,North Carolina,,Office Supplies,Binders,18.55,2,0.0,16.53
28,ORD-2023-100027,09/26/2023,10/03/2023,Standard Class,CUST-1904,Maria Garcia ,Corporate,West,Washington,99366.0,Office Supplies,Storage,36.95,4,0.0,43.14
29,ORD-2022-100028,02/05/2022,02/12/2022,Second Class,CUST-1457,Liam O'Connor,Corporate,West,Oregon,,Technology,Phones,971.79,6,0.0,265.32
30,ORD-2024-100029,06/18/2024,06/25/2024,First Class,CUST-1499,Liam O'Connor,Home Office,East,Massachusetts,,Technology,Machines,226.72,4,0.3,38.26
31,ORD-2023-100030,11/04/2023,11/05/2023,First Class,CUST-1047,  John Smith,Home Office,West,Oregon,39664.0,Office Supplies,Binders,13.94,1,0.1,2.34
32,ORD-2022-100031,01/11/2022,01/18/2022,Standard Class,CUST-1538,Wei Chen,Corporate,West,Oregon,,Technology,Copiers,720.8,6,0.15,-120.31
33,ORD-2024-100032,12/01/2024,12/04/2024,First Class,CUST-1011,Fatima Noor,Home Office,Central,Illinois,,Office Supplies,Storage,46.04,3,0.0,59.44
34,ORD-2023-100033,09/21/2023,09/28/2023,Standard Class,CUST-1518,,Consumer,West,Nevada,29325.0,Technology,Machines,686.6,6,0.2,916.32
35,ORD-2024-100034,05/24/2024,05/28/2024,First Class,CUST-1751,John Smith,Home Office,South,Georgia,29105.0,Furniture,Tables,477.37,7,0.0,666.81
36,ORD-2024-100035,01/10/2024,01/16/2024,Standard Class,CUST-1416,,Consumer,West,Oregon,44203.0,Technology,Accessories,53.25,1,0.0,9.69
37,ORD-2023-100036,11/06/2023,11/10/2023,Second Class,CUST-1929,,Corporate,East,Pennsylvania,,Office Supplies,Binders,8.31,6,0.0,-9.98
38,ORD-2023-100037,11/10/2023,11/17/2023,Second Class,CUST-1149,,Consumer,East,Massachusetts,,Office Supplies,Paper,5.35,5,0.0,4.3
39,ORD-2024-100038,04/21/2024,04/24/2024,Standard Class,CUST-1260,Maria Garcia ,Corporate,Central,Michigan,,Furniture,Furnishings,113.56,3,0.1,41.57
40,ORD-2022-100039,03/23/2022,03/27/2022,Standard Class,CUST-1528,Fatima Noor,Corporate,East,New York,,Furniture,Chairs,419.56,7,0.1,456.72
41,ORD-2022-100040,10/01/2022,10/08/2022,First Class,CUST-1006,Liam O'Connor,Home Office,West,Oregon,,Technology,Machines,521.6,8,0.0,705.09
42,ORD-2023-100041,08/09/2023,08/14/2023,First Class,CUST-1817,Liam O'Connor,Corporate,East,Massachusetts,74023.0,Office Supplies,Art,23.16,8,0.2,-7.87
43,ORD-2024-100042,02/20/2024,02/21/2024,First Class,CUST-1535,Maria Garcia ,Corporate,South,Georgia,,Office Supplies,Binders,33.59,5,0.0,22.35
44,ORD-2023-100043,01/04/2023,01/05/2023,First Class,CUST-1639,  John Smith,Corporate,Central,Ohio,,Technology,Phones,247.83,7,0.0,291.32
45,ORD-2022-100044,08/29/2022,09/04/2022,First Class,CUST-1203,Liam O'Connor,Home Office,Central,Michigan,,Furniture,Furnishings,311.45,6,0.15,325.18
46,ORD-2022-100045,12/31/2022,01/04/2023,Standard Class,CUST-1674,  John Smith,Consumer,East,Massachusetts,,Office Supplies,Binders,,8,0.2,20.59
47,ORD-2022-100046,10/31/2022,11/06/2022,First Class,CUST-1974,Aisha Khan,Consumer,East,New Jersey,18510.0,Furniture,Bookcases,76.88,3,0.1,-6.12
48,ORD-2022-100047,11/14/2022,11/15/2022,Standard Class,CUST-1388,Wei Chen,Consumer,East,New Jersey,,Technology,Machines,47.71,2,0.0,23.14
49,ORD-2024-100048,10/22/2024,10/25/2024,First Class,CUST-1485,David O'Brien,Corporate,West,Oregon,,Technology,Phones,234.19,1,0.1,48.95
50,ORD-2022-100049,07/12/2022,07/19/2022,Standard Class,CUST-1030,  John Smith,Corporate,East,Massachusetts,,Office Supplies,Paper,50.68,9,0.1,60.31
51,ORD-2024-100050,09/21/2024,09/24/2024,First Class,CUST-1906,John Smith,Corporate,West,California,,Furniture,Furnishings,272.0,1,0.2,47.86
52,ORD-2024-100051,11/25/2024,11/28/2024,Standard Class,CUST-1682,John Smith,Home Office,Central,Illinois,,Office Supplies,Paper,113.84,9,0.0,-60.97
53,ORD-2022-100052,01/24/2022,01/27/2022,Same Day,CUST-1675,David O'Brien,Corporate,West,Nevada,,Furniture,Tables,394.15,4,0.15,-123.07
54,ORD-2024-100053,01/21/2024,01/27/2024,Standard Class,CUST-1681,John Smith,Consumer,South,Alabama,,Office Supplies,Art,29.92,9,0.0,99.3
55,ORD-2024-100054,08/03/2024,08/10/2024,Standard Class,CUST-1181,  John Smith,Home Office,West,Washington,,Office Supplies,Binders,95.68,9,0.0,-134.01
56,ORD-2022-100055,05/08/2022,05/14/2022,Standard Class,CUST-1572,Priya Patel,Corporate,Central,Texas,,Office Supplies,Storage,14.27,6,0.15,30.98
57,ORD-2023-100056,11/03/2023,11/10/2023,Standard Class,CUST-1497,Priya Patel,Consumer,South,Florida,,Office Supplies,Storage,167.87,2,0.0,115.78
58,ORD-2024-100057,05/21/2024,05/22/2024,Standard Class,CUST-1162,,Corporate,West,California,,Furniture,Tables,310.74,1,0.0,72.36
59,ORD-2022-100058,09/25/2022,09/28/2022,Standard Class,CUST-1451,Aisha Khan,Consumer,Central,Ohio,83537.0,Office Supplies,Paper,30.9,4,0.3,33.27
60,ORD-2023-100059,10/01/2023,10/06/2023,Standard Class,CUST-1931,John Smith,Consumer,West,Nevada,,Furniture,Tables,531.69,7,0.0,107.99
61,ORD-2022-100060,03/24/2022,03/29/2022,Standard Class,CUST-1334,Liam O'Connor,Consumer,South,North Carolina,52912.0,Furniture,Bookcases,119.62,2,0.0,86.45
62,ORD-2022-100061,09/04/2022,09/09/2022,First Class,CUST-1855,Priya Patel,Consumer,South,Alabama,,Furniture,Tables,30.0,6,0.0,14.78
63,ORD-2022-100062,03/19/2022,03/22/2022,Standard Class,CUST-1069,Aisha Khan,Corporate,East,Massachusetts,,Office Supplies,Paper,11.96,1,0.0,7.04
64,ORD-2024-100063,10/23/2024,10/29/2024,Standard Class,CUST-1693,John Smith,Corporate,Central,Texas,,Office Supplies,Paper,85.6,3,0.0,129.11
65,ORD-2024-100064,05/07/2024,05/12/2024,Second Class,CUST-1400,Aisha Khan,Corporate,East,Massachusetts,,Office Supplies,Storage,71.4,4,0.15,91.99
66,ORD-2022-100065,01/09/2022,01/15/2022,Second Class,CUST-1747,  John Smith,Corporate,South,Georgia,,Furniture,Furnishings,94.12,3,0.1,-56.38
67,ORD-2022-100066,12/04/2022,12/05/2022,Second Class,CUST-1560,John Smith,Consumer,South,North Carolina,62617.0,Office Supplies,Paper,23.19,5,0.0,8.71
68,ORD-2024-100067,02/28/2024,03/04/2024,Second Class,CUST-1402,Wei Chen,Consumer,East,Massachusetts,,Technology,Accessories,553.81,2,0.1,193.32
69,ORD-2023-100068,09/12/2023,09/16/2023,First Class,CUST-1739,David O'Brien,Consumer,South,Georgia,49642.0,Office Supplies,Binders,9.07,1,0.2,3.3
70,ORD-2023-100069,12/08/2023,12/12/2023,Second Class,CUST-1402,,Corporate,East,New York,,Office Supplies,Art,45.45,8,0.0,6.07
71,ORD-2023-100070,02/17/2023,02/24/2023,Standard Class,CUST-1663,  John Smith,Consumer,East,Pennsylvania,,Furniture,Tables,392.64,9,0.0,525.47
72,ORD-2023-100071,09/30/2023,10/07/2023,Standard Class,CUST-1791,Maria Garcia ,Corporate,Central,Texas,,Furniture,Tables,40.15,2,0.0,15.99
73,ORD-2022-100072,03/30/2022,04/01/2022,Standard Class,CUST-1483,  John Smith,Corporate,West,Nevada,,Furniture,Furnishings,226.61,1,0.0,23.7
74,ORD-2023-100073,01/26/2023,01/28/2023,Same Day,CUST-1245,Wei Chen,Corporate,South,North Carolina,,Office Supplies,Paper,16.76,1,0.1,1.03
75,ORD-2022-100074,01/13/2022,01/19/2022,Second Class,CUST-1898,Aisha Khan,Home Office,East,Pennsylvania,,Furniture,Tables,297.99,9,0.0,-127.13
76,ORD-2023-100075,03/29/2023,04/05/2023,Standard Class,CUST-1417,Maria Garcia ,Corporate,Central,Illinois,68335.0,Furniture,Chairs,169.07,6,0.0,335.16
77,ORD-2024-100076,09/09/2024,09/11/2024,Standard Class,CUST-1730,John Smith,Corporate,East,New Jersey,21699.0,Office Supplies,Art,13.21,2,0.1,3.97
78,ORD-2023-100077,06/21/2023,06/23/2023,Second Class,CUST-1082,Fatima Noor,Corporate,East,Pennsylvania,,Furniture,Tables,390.39,5,0.0,786.7
79,ORD-2023-100078,01/07/2023,01/14/2023,Second Class,CUST-1850,Maria Garcia ,Corporate,South,Florida,,Furniture,Bookcases,200.63,2,0.1,121.99
80,ORD-2024-100079,01/11/2024,01/13/2024,Standard Class,CUST-1534,Fatima Noor,Consumer,Central,Ohio,,Office Supplies,Binders,38.64,7,0.2,14.49
81,ORD-2023-100080,02/13/2023,02/20/2023,Standard Class,CUST-1781,,Home Office,East,New York,,Technology,Machines,216.48,4,0.0,104.16
82,ORD-2023-100081,10/20/2023,10/22/2023,First Class,CUST-1643,David O'Brien,Home Office,West,Oregon,,Furniture,Bookcases,338.13,4,0.0,-56.54
83,ORD-2024-100082,03/02/2024,03/08/2024,Standard Class,CUST-1703,,Consumer,West,California,25825.0,Technology,Phones,805.18,4,0.0,282.65
84,ORD-2023-100083,02/09/2023,02/13/2023,Standard Class,CUST-1765,Priya Patel,Consumer,West,California,46735.0,Furniture,Chairs,244.06,3,0.0,150.19
85,ORD-2024-100084,11/07/2024,11/12/2024,Second Class,CUST-1730,David O'Brien,Corporate,Central,Illinois,,Office Supplies,Art,40.93,3,0.0,34.31
86,ORD-2023-100085,05/02/2023,05/07/2023,Standard Class,CUST-1299,Liam O'Connor,Corporate,West,Oregon,67256.0,Office Supplies,Paper,14.04,7,0.0,57.75
87,ORD-2022-100086,12/06/2022,12/08/2022,Standard Class,CUST-1974,Aisha Khan,Consumer,West,Nevada,18580.0,Furniture,Tables,232.98,3,0.15,41.0
88,ORD-2022-100087,09/21/2022,09/27/2022,Standard Class,CUST-1448,David O'Brien,Home Office,Central,Ohio,,Office Supplies,Art,52.39,8,0.0,114.84
89,ORD-2023-100088,06/22/2023,06/25/2023,Standard Class,CUST-1500,David O'Brien,Home Office,East,Massachusetts,,Office Supplies,Storage,57.27,8,0.2,215.4
90,ORD-2022-100089,11/22/2022,11/25/2022,Standard Class,CUST-1434,  John Smith,Corporate,Central,Illinois,94283.0,Technology,Phones,531.49,8,0.15,541.0
91,ORD-2023-100090,07/19/2023,07/23/2023,Same Day,CUST-1077,Aisha Khan,Home Office,South,North Carolina,,Furniture,Tables,164.38,5,0.1,195.02
92,ORD-2024-100091,08/31/2024,09/07/2024,First Class,CUST-1060,David O'Brien,Home Office,East,New York,,Office Supplies,Paper,8.71,1,0.0,1.73
93,ORD-2024-100092,03/03/2024,03/04/2024,Standard Class,CUST-1862,  John Smith,Consumer,West,California,,Office Supplies,Binders,29.37,6,0.0,20.75
94,ORD-2022-100093,09/10/2022,09/14/2022,First Class,CUST-1676,Wei Chen,Corporate,East,New Jersey,,Technology,Accessories,161.11,8,0.3,193.66
95,ORD-2024-100094,02/16/2024,02/20/2024,Standard Class,CUST-1086,Priya Patel,Consumer,South,Alabama,,Furniture,Tables,237.73,8,0.0,350.71
96,ORD-2024-100095,06/28/2024,07/04/2024,Second Class,CUST-1418,  John Smith,Home Office,South,Georgia,,Office Supplies,Paper,33.39,7,0.0,52.96
97,ORD-2023-100096,01/12/2023,01/13/2023,Standard Class,CUST-1232,  John Smith,Home Office,South,Florida,,Technology,Copiers,438.36,1,0.1,-10.16
98,ORD-2022-100097,08/18/2022,08/24/2022,Standard Class,CUST-1378,Wei Chen,Corporate,South,Alabama,,Technology,Copiers,234.5,5,0.15,147.17
99,ORD-2023-100098,05/15/2023,05/18/2023,Standard Class,CUST-1496,,Home Office,Central,Ohio,,Technology,Machines,,6,0.1,349.14
100,ORD-2022-100099,01/19/2022,01/21/2022,Second Class,CUST-1985,,Home Office,Central,Illinois,,Office Supplies,Art,27.21,3,0.1,31.9
101,ORD-2024-100100,01/12/2024,01/18/2024,Second Class,CUST-1669,,Consumer,West,Oregon,99969.0,Technology,Accessories,104.43,2,0.0,30.97
102,ORD-2022-100101,03/01/2022,03/07/2022,Standard Class,CUST-1492,  John Smith,Home Office,East,New York,,Office Supplies,Binders,38.35,4,0.0,32.56
103,ORD-2024-100102,01/28/2024,02/03/2024,Standard Class,CUST-1864,  John Smith,Corporate,East,Massachusetts,,Furniture,Furnishings,415.28,3,0.3,16.99
104,ORD-2022-100103,08/06/2022,08/12/2022,Standard Class,CUST-1448,,Corporate,East,New York,,Office Supplies,Binders,31.52,2,0.1,-5.62
105,ORD-2023-100104,09/19/2023,09/24/2023,Second Class,CUST-1182,Priya Patel,Consumer,South,Florida,60184.0,Office Supplies,Binders,53.96,6,0.0,112.36
106,ORD-2022-100105,01/27/2022,01/28/2022,Standard Class,CUST-1654,  John Smith,Consumer,South,Alabama,63347.0,Office Supplies,Art,26.35,6,0.0,27.56
107,ORD-2022-100106,10/31/2022,11/07/2022,First Class,CUST-1531,Maria Garcia ,Consumer,South,Alabama,,Furniture,Tables,246.91,4,0.0,267.56
108,ORD-2022-100107,10/20/2022,10/25/2022,Same Day,CUST-1198,,Corporate,East,New York,,Office Supplies,Binders,31.81,9,0.0,97.0
109,ORD-2024-100108,11/29/2024,12/05/2024,Standard Class,CUST-1077,Wei Chen,Consumer,East,New York,,Office Supplies,Binders,17.17,3,0.0,11.58
110,ORD-2023-100109,12/03/2023,12/06/2023,Standard Class,CUST-1095,Fatima Noor,Corporate,Central,Texas,,Technology,Accessories,492.46,4,0.0,-1.72
111,ORD-2023-100110,01/05/2023,01/08/2023,Second Class,CUST-1520,David O'Brien,Corporate,East,Massachusetts,,Office Supplies,Storage,12.27,5,0.0,26.29
112,ORD-2022-100111,05/02/2022,05/05/2022,Standard Class,CUST-1449,Wei Chen,Consumer,Central,Illinois,23134.0,Office Supplies,Binders,15.75,9,0.1,-11.94
113,ORD-2022-100112,07/21/2022,07/26/2022,Second Class,CUST-1147,,Consumer,South,Georgia,64431.0,Office Supplies,Storage,9.49,1,0.15,1.21
114,ORD-2024-100113,03/27/2024,04/01/2024,Second Class,CUST-1860,Fatima Noor,Consumer,South,Florida,,Office Supplies,Art,15.61,5,0.0,5.17
115,ORD-2022-100114,12/24/2022,12/27/2022,Second Class,CUST-1374,Liam O'Connor,Corporate,West,California,88023.0,Technology,Machines,234.12,8,0.0,454.42
116,ORD-2024-100115,08/18/2024,08/24/2024,Second Class,CUST-1597,Liam O'Connor,Corporate,West,California,,Office Supplies,Storage,39.24,3,0.0,16.64
117,ORD-2022-100116,08/20/2022,08/27/2022,Standard Class,CUST-1559,Liam O'Connor,Corporate,Central,Illinois,,Furniture,Furnishings,188.04,2,0.2,-2.61
118,ORD-2024-100117,12/29/2024,01/03/2025,First Class,CUST-1386,Liam O'Connor,Corporate,West,Washington,,Furniture,Chairs,304.42,1,0.15,-16.26
119,ORD-2024-100118,09/23/2024,09/30/2024,First Class,CUST-1989,Liam O'Connor,Home Office,Central,Michigan,,Office Supplies,Storage,32.83,6,0.0,37.1
120,ORD-2024-100119,05/13/2024,05/20/2024,Standard Class,CUST-1380,Priya Patel,Home Office,Central,Michigan,55562.0,Furniture,Bookcases,195.61,2,0.1,54.82
121,ORD-2023-100120,02/27/2023,03/06/2023,Standard Class,CUST-1989,Fatima Noor,Home Office,West,Nevada,25291.0,Furniture,Tables,810.54,5,0.15,-317.9
122,ORD-2022-100121,11/13/2022,11/14/2022,First Class,CUST-1271,Aisha Khan,Corporate,South,Florida,,Office Supplies,Art,19.11,1,0.0,3.63
123,ORD-2023-100122,03/25/2023,03/26/2023,Standard Class,CUST-1578,David O'Brien,Consumer,South,Florida,,Technology,Phones,192.83,6,0.0,37.11
124,ORD-2024-100123,01/03/2024,01/07/2024,First Class,CUST-1611,Fatima Noor,Home Office,Central,Ohio,,Furniture,Chairs,299.47,5,0.0,733.45
125,ORD-2023-100124,03/01/2023,03/04/2023,Same Day,CUST-1706,  John Smith,Corporate,Central,Illinois,,Office Supplies,Art,25.1,6,0.0,-19.56
126,ORD-2022-100125,07/26/2022,07/31/2022,First Class,CUST-1780,David O'Brien,Corporate,South,North Carolina,,Office Supplies,Art,22.45,2,0.0,11.61
127,ORD-2024-100126,09/23/2024,09/29/2024,Standard Class,CUST-1359,John Smith,Consumer,South,Alabama,22911.0,Office Supplies,Storage,67.75,5,0.15,68.01
128,ORD-2024-100127,04/27/2024,04/29/2024,Standard Class,CUST-1675,Aisha Khan,Corporate,West,California,,Furniture,Furnishings,124.31,8,0.0,357.14
129,ORD-2022-100128,02/17/2022,02/20/2022,Standard Class,CUST-1769,Priya Patel,Corporate,South,North Carolina,,Office Supplies,Art,48.55,3,0.15,-8.38
130,ORD-2022-100129,09/20/2022,09/22/2022,Second Class,CUST-1755,John Smith,Consumer,Central,Michigan,,Office Supplies,Paper,22.21,5,0.0,23.37
131,ORD-2023-100130,11/09/2023,11/14/2023,Standard Class,CUST-1288,John Smith,Consumer,South,Florida,,Office Supplies,Art,38.86,9,0.0,48.22
132,ORD-2023-100131,12/01/2023,12/03/2023,Second Class,CUST-1038,Liam O'Connor,Consumer,West,California,,Technology,Accessories,78.96,4,0.0,80.09
133,ORD-2024-100132,05/25/2024,05/28/2024,Second Class,CUST-1157,Fatima Noor,Consumer,East,Massachusetts,,Office Supplies,Paper,24.3,6,0.15,23.07
134,ORD-2024-100133,03/10/2024,03/16/2024,First Class,CUST-1806,  John Smith,Consumer,Central,Michigan,22321.0,Office Supplies,Paper,12.88,4,0.15,0.07
135,ORD-2023-100134,02/06/2023,02/10/2023,Standard Class,CUST-1465,Wei Chen,Home Office,South,Florida,87189.0,Technology,Machines,398.96,4,0.0,337.66
136,ORD-2022-100135,11/06/2022,11/08/2022,Standard Class,CUST-1046,Priya Patel,Corporate,Central,Ohio,,Technology,Machines,339.25,2,0.1,-46.54
137,ORD-2024-100136,05/26/2024,05/27/2024,Second Class,CUST-1480,Priya Patel,Consumer,East,Massachusetts,,Office Supplies,Paper,54.27,4,0.0,-24.35
138,ORD-2023-100137,02/27/2023,03/05/2023,Standard Class,CUST-1461,  John Smith,Consumer,South,Georgia,,Office Supplies,Paper,25.69,5,0.2,31.83
139,ORD-2022-100138,02/06/2022,02/07/2022,Second Class,CUST-1529,David O'Brien,Consumer,South,North Carolina,,Office Supplies,Paper,37.88,5,0.0,-4.75
140,ORD-2024-100139,02/29/2024,03/02/2024,Standard Class,CUST-1706,Maria Garcia ,Home Office,Central,Texas,,Office Supplies,Art,41.34,5,0.0,67.23
141,ORD-2023-100140,11/07/2023,11/11/2023,Standard Class,CUST-1924,Maria Garcia ,Corporate,South,Georgia,31761.0,Technology,Phones,125.17,3,0.0,98.14
142,ORD-2022-100141,06/21/2022,06/22/2022,Second Class,CUST-1715,Maria Garcia ,Consumer,South,Alabama,57969.0,Office Supplies,Paper,31.84,8,0.0,111.68
143,ORD-2022-100142,03/04/2022,03/10/2022,First Class,CUST-1921,John Smith,Consumer,South,Alabama,73228.0,Furniture,Furnishings,471.31,1,0.3,-131.25
144,ORD-2023-100143,01/27/2023,01/28/2023,Standard Class,CUST-1657,David O'Brien,Corporate,East,Massachusetts,70819.0,Office Supplies,Storage,14.17,3,0.2,9.78
145,ORD-2024-100144,10/16/2024,10/23/2024,Standard Class,CUST-1785,Priya Patel,Home Office,East,New Jersey,,Furniture,Furnishings,193.55,9,0.0,465.04
146,ORD-2024-100145,06/12/2024,06/15/2024,Second Class,CUST-1805,Wei Chen,Home Office,West,California,78002.0,Office Supplies,Binders,40.05,8,0.1,7.09
147,ORD-2024-100146,03/06/2024,03/09/2024,Standard Class,CUST-1966,David O'Brien,Home Office,West,Washington,,Office Supplies,Storage,63.72,6,0.0,15.13
148,ORD-2023-100147,04/10/2023,04/12/2023,Standard Class,CUST-1099,Liam O'Connor,Consumer,East,Massachusetts,,Furniture,Furnishings,417.79,1,0.1,25.22
149,ORD-2023-100148,05/11/2023,05/16/2023,Standard Class,CUST-1573,Fatima Noor,Corporate,East,Pennsylvania,69899.0,Office Supplies,Binders,41.53,1,0.1,2.13
150,ORD-2022-100149,05/09/2022,05/16/2022,Second Class,CUST-1283,Maria Garcia ,Corporate,South,Alabama,,Office Supplies,Storage,45.92,5,0.0,79.41
151,ORD-2022-100150,03/13/2022,03/15/2022,Standard Class,CUST-1497,Priya Patel,Corporate,West,Oregon,,Furniture,Furnishings,247.22,7,0.0,794.73
152,ORD-2022-100151,06/18/2022,06/24/2022,Same Day,CUST-1061,Wei Chen,Corporate,Central,Michigan,,Office Supplies,Art,25.57,2,0.0,0.37
153,ORD-2022-100152,06/02/2022,06/03/2022,First Class,CUST-1696,Fatima Noor,Home Office,Central,Texas,,Office Supplies,Binders,15.94,4,0.1,5.39
154,ORD-2023-100153,07/10/2023,07/14/2023,Standard Class,CUST-1534,David O'Brien,Consumer,South,North Carolina,66479.0,Office Supplies,Paper,32.42,8,0.15,-55.64
155,ORD-2023-100154,04/23/2023,04/29/2023,Standard Class,CUST-1099,Wei Chen,Home Office,East,Massachusetts,,Technology,Machines,239.94,8,0.2,-489.58
156,ORD-2023-100155,08/01/2023,08/07/2023,First Class,CUST-1623,,Home Office,East,New Jersey,49094.0,Office Supplies,Art,57.08,5,0.0,83.33
157,ORD-2023-100156,01/02/2023,01/03/2023,Second Class,CUST-1813,  John Smith,Consumer,East,Massachusetts,81739.0,Office Supplies,Paper,66.12,8,0.1,66.71
158,ORD-2024-100157,02/01/2024,02/04/2024,First Class,CUST-1935,Liam O'Connor,Home Office,West,Oregon,,Office Supplies,Art,3.02,1,0.2,1.01
159,ORD-2024-100158,08/11/2024,08/18/2024,First Class,CUST-1825,,Consumer,South,Florida,49244.0,Office Supplies,Art,33.0,1,0.0,3.1
160,ORD-2023-100159,10/10/2023,10/16/2023,Standard Class,CUST-1663,Maria Garcia ,Corporate,Central,Illinois,,Office Supplies,Binders,41.0,5,0.1,36.17
161,ORD-2024-100160,10/21/2024,10/22/2024,Standard Class,CUST-1450,Wei Chen,Consumer,Central,Illinois,,Furniture,Chairs,90.4,3,0.0,51.11
162,ORD-2024-100161,01/21/2024,01/22/2024,Standard Class,CUST-1528,  John Smith,Corporate,South,Florida,,Office Supplies,Paper,21.57,9,0.0,-33.61
163,ORD-2024-100162,10/05/2024,10/12/2024,Standard Class,CUST-1318,David O'Brien,Consumer,East,Pennsylvania,,Office Supplies,Art,67.86,5,0.15,-12.61
164,ORD-2024-100163,10/23/2024,10/28/2024,Standard Class,CUST-1555,Liam O'Connor,Consumer,West,California,83723.0,Office Supplies,Storage,46.14,6,0.0,32.12
165,ORD-2024-100164,09/20/2024,09/22/2024,Second Class,CUST-1411,Liam O'Connor,Home Office,West,Oregon,,Office Supplies,Storage,73.66,9,0.0,-11.52
166,ORD-2023-100165,10/16/2023,10/18/2023,Standard Class,CUST-1783,Fatima Noor,Consumer,South,North Carolina,37050.0,Office Supplies,Paper,24.94,2,0.0,18.32
